Site,Level,Area,LOT,ID,UNIT,RawMaterial,ChertType,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes,BlankType,X,Y,Z,Phase
LP,NA,NA,NA,B5-1120,B5,Quartz,NA,Fine,Manuport,NA,NA,NA,100%,NA,Cobble,NA,No,No,NA,NA,NA,NA,0,NA,2.98,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
LP,NA,NA,NA,C4-221,C4,Quartz,NA,Fine,Chip,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
LP,NA,NA,NA,A5-768,A5,Quartz,NA,Fine,Shatter,NA,NA,NA,1-30%,NA,Cobble,NA,No,No,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
LP,NA,NA,NA,A5-518,A5,Quartz,NA,Fine,Chip,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
LP,NA,NA,NA,A5-622,A5,Quartz,NA,Fine,Chip,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
LP,NA,NA,NA,B5-936,B5,Quartz,NA,Fine,Chip,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
LP,NA,NA,NA,B5-1120,B5,Quartz,NA,Fine,Shatter,NA,NA,NA,61-99%,NA,Cobble,NA,No,No,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
LP,NA,NA,NA,B4-80,B4,Quartz,NA,Fine,Chip,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
LP,U,NA,NA,D7-3417,D7,Chert,NA,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Parallel,Trapezoidal,Overshoot,Curved,5,Unidirectional,4.51,12.66,12.2,11.27,6.86,40.97,1.6,3.66,87.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Fire,Burned,Yes,NA,0,NA,ElongatedProd,NA,NA,NA,U/Lower T
LP,U,NA,NA,C7-1478,C7,Chert,NA,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Irregular,Triangular,Hinge,Straight,4,Unidirectional,7.77,16.06,13.39,11.4,10.83,41.27,6.27,14.64,0,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,ElongatedProd,4998.93,5009.955,566.415,U/Lower T
LP,U,NA,NA,YY11-1209,YY11,Other,NA,NA,Manuport,NA,NA,NA,100%,NA,Cobble,NA,No,No,NA,NA,NA,NA,0,NA,13.01,0,0,0,0,0,0,0,0,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,NA,NA,0,NA,NA,5002.457,5013.386,566.407,U/Lower T
